ID,TYPE_NAME,PURITY,CATEGORY,BRAND,IS_DELETED
543,Vàng trang sức,99.99%,Jewelry,PHÚ QUÝ,0
548,Nữ trang,58.30%,Jewelry,SJC,0
558,Vàng miếng SJC,99.99%,Bar Gold,PHÚ QUÝ,0
559,Vàng trang sức 999,99.99%,Jewelry,PHÚ QUÝ,0
568,Nữ trang,41.70%,Jewelry,SJC,0
781,PNJ,99.99%,Jewelry,SJC,0
782,SJC,99.99%,Bar Gold,BTMC,0
783,Nhẫn Trơn PNJ 999.9,99.99%,Ring,SJC,0
784,Vàng Kim Bảo 999.9,99.99%,Bar Gold,BTMC,0
785,Vàng Phúc Lộc Tài 999.9,99.99%,Bar Gold,PHÚ QUÝ,0
786,Vàng nữ trang 999.9,99.99%,Jewelry,SJC,0
787,Vàng nữ trang 99,99.00%,Jewelry,SJC,0
788,Vàng 916 (22K),91.60%,Bar Gold,PHÚ QUÝ,0
789,Vàng 750 (18K),75.00%,Bar Gold,DOJI,0
790,Vàng 680 (16.3K),68.00%,Bar Gold,DOJI,0
791,Vàng 650 (15.6K),65.00%,Bar Gold,DOJI,0
792,Vàng 585 (14K),58.30%,Bar Gold,BTMC,0
793,Vàng 416 (10K),41.66%,Bar Gold,BTMC,0
794,Vàng 375 (9K),37.50%,Bar Gold,BTMC,0
795,Vàng 333 (8K),33.30%,Bar Gold,BTMC,0
843,VÀNG MIẾNG SJC,99.99%,Bar Gold,BTMC,1
847,Vàng trang sức 99,99.99%,Jewelry,PHÚ QUÝ,1
855,Vàng trang sức 999,99.99%,Jewelry,PHÚ QUÝ,1
863,Phú quý 1 lượng 99.9,99.99%,Bar Gold,PHÚ QUÝ,1
864,Vàng phi SJC,99.99%,Bar Gold,PHÚ QUÝ,1
869,Vàng phi SJC,99.99%,Bar Gold,PHÚ QUÝ,1
1063,TRANG SỨC VÀNG RỒNG THĂNG LONG,99.99%,Jewelry,BTMC,1
1071,"Vàng nhẫn SJC 0.5 chỉ, 0.3 chỉ",99.99%,Ring,SJC,1
1073,"Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ",99.99%,Bar Gold,SJC,1
1075,Thần tài Phú Quý,99.99%,Gift,PHÚ QUÝ,1
1081,- BÁN LẺ DOJI,99.99%,Bar Gold,DOJI,1
1086,Nữ trang,99.00%,Jewelry,SJC,1
1286,VÀNG MIẾNG SJC,99.99%,Bar Gold,BTMC,1
1287,Vàng trang sức,99.99%,Jewelry,PHÚ QUÝ,1
1298,Nữ trang,75.00%,Jewelry,SJC,1
1300,NHẪN TRÒN TRƠN BẢO TÍN MINH CHÂU,99.99%,Ring,BTMC,1
1504,"Vàng SJC 1L, 10L, 1KG",99.99%,Bar Gold,SJC,1
1505,TRANG SỨC VÀNG RỒNG THĂNG LONG,99.99%,Jewelry,BTMC,1
1509,Nữ trang,58.30%,Jewelry,SJC,1
1513,"Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ",99.99%,Bar Gold,SJC,1
1521,Thần tài Phú Quý,99.99%,Gift,PHÚ QUÝ,1
1522,- BÁN LẺ DOJI,99.99%,Bar Gold,DOJI,1
1528,Nữ trang,99.00%,Jewelry,SJC,1
1722,"Vàng SJC 1L, 10L, 1KG",99.99%,Bar Gold,SJC,1
1729,QUÀ MỪNG BẢN VỊ VÀNG BẢO TÍN MINH CHÂU,99.99%,Bar Gold,BTMC,1
1736,Phú quý 1 lượng 99.9,99.99%,Bar Gold,PHÚ QUÝ,1
1737,Vàng phi SJC,99.99%,Bar Gold,PHÚ QUÝ,1
1740,NHẪN TRÒN TRƠN BẢO TÍN MINH CHÂU,99.99%,Ring,BTMC,1
1748,Nữ trang,41.70%,Jewelry,SJC,1
1942,Vàng trang sức 99,99.99%,Jewelry,PHÚ QUÝ,1
1950,Nữ trang,61.00%,Jewelry,SJC,1
1952,TRANG SỨC VÀNG RỒNG THĂNG LONG 99.9,99.99%,Jewelry,BTMC,1
1954,Vàng trang sức 999,99.99%,Jewelry,PHÚ QUÝ,1
1959,Thần tài Phú Quý,99.99%,Gift,PHÚ QUÝ,1
1965,Vàng trang sức 98,99.99%,Jewelry,PHÚ QUÝ,1
1967,Nữ trang,68.00%,Jewelry,SJC,1
2163,"Vàng SJC 1L, 10L, 1KG",Unknown,gold_bar,SJC,0
2172,Vàng trang sức,99.99,jewelry,Phú Quý,0
2177,Nữ trang,75,jewelry,SJC,0
2185,NHẪN TRÒN TRƠN BẢO TÍN MINH CHÂU,Unknown,ring,BTMC,0
2189,Vàng phi SJC,99.99,other,Phú Quý,0
541,QUÀ MỪNG BẢN VỊ VÀNG BẢO TÍN MINH CHÂU,99.99%,Bar Gold,BTMC,0
546,TRANG SỨC VÀNG RỒNG THĂNG LONG,99.99%,Jewelry,BTMC,0
552,"Vàng SJC 1L, 10L, 1KG",99.99%,Bar Gold,SJC,0
553,Nữ trang,75.00%,Jewelry,SJC,0
560,VÀNG MIẾNG VRTL BẢO TÍN MINH CHÂU,99.99%,Bar Gold,BTMC,0
565,Vàng trang sức 98,99.99%,Jewelry,PHÚ QUÝ,0
566,Nữ trang,68.00%,Jewelry,SJC,0
844,Nữ trang,61.00%,Jewelry,SJC,1
841,"Vàng SJC 1L, 10L, 1KG",99.99%,Bar Gold,SJC,1
849,Vàng trang sức,99.99%,Jewelry,PHÚ QUÝ,1
853,Nhẫn tròn Phú Quý,99.99%,Ring,PHÚ QUÝ,1
857,Thần tài Phú Quý,99.99%,Gift,PHÚ QUÝ,1
861,NHẪN TRÒN TRƠN BẢO TÍN MINH CHÂU,99.99%,Ring,BTMC,1
866,Nữ trang,99.00%,Jewelry,SJC,1
1066,Nữ trang,58.30%,Jewelry,SJC,1
1072,TRANG SỨC VÀNG RỒNG THĂNG LONG 99.9,99.99%,Jewelry,BTMC,1
1074,Nữ trang,75.00%,Jewelry,SJC,1
1079,Vàng miếng SJC,99.99%,Bar Gold,PHÚ QUÝ,1
1083,Vàng trang sức 98,99.99%,Jewelry,PHÚ QUÝ,1
1087,Nữ trang,68.00%,Jewelry,SJC,1
1281,TRANG SỨC VÀNG RỒNG THĂNG LONG,99.99%,Jewelry,BTMC,1
1288,Vàng trang sức 99,99.99%,Jewelry,PHÚ QUÝ,1
1289,"Vàng nhẫn SJC 0.5 chỉ, 0.3 chỉ",99.99%,Ring,SJC,1
1296,Nhẫn tròn Phú Quý,99.99%,Ring,PHÚ QUÝ,1
1301,Vàng miếng SJC,99.99%,Bar Gold,PHÚ QUÝ,1
1302,- BÁN LẺ DOJI,99.99%,Bar Gold,DOJI,1
1306,Nữ trang,99.00%,Jewelry,SJC,1
1502,Vàng trang sức,99.99%,Jewelry,PHÚ QUÝ,1
1503,Vàng trang sức 99,99.99%,Jewelry,PHÚ QUÝ,1
1512,"Vàng nhẫn SJC 0.5 chỉ, 0.3 chỉ",99.99%,Ring,SJC,1
1514,Nữ trang,75.00%,Jewelry,SJC,1
1519,Vàng miếng SJC,99.99%,Bar Gold,PHÚ QUÝ,1
1524,Vàng trang sức 98,99.99%,Jewelry,PHÚ QUÝ,1
1526,Nữ trang,68.00%,Jewelry,SJC,1
1724,Vàng SJC 5 chỉ,99.99%,Bar Gold,SJC,1
1728,Nữ trang,61.00%,Jewelry,SJC,1
1735,Vàng trang sức 999,99.99%,Jewelry,PHÚ QUÝ,1
1744,Vàng miếng SJC,99.99%,Bar Gold,PHÚ QUÝ,1
1747,Vàng phi SJC,99.99%,Bar Gold,PHÚ QUÝ,1
1945,"Vàng nhẫn SJC 1 chỉ, 2 chỉ, 5 chỉ",99.99%,Ring,SJC,1
1948,QUÀ MỪNG BẢN VỊ VÀNG BẢO TÍN MINH CHÂU,99.99%,Bar Gold,BTMC,1
1955,Nữ trang,75.00%,Jewelry,SJC,1
1961,NHẪN TRÒN TRƠN BẢO TÍN MINH CHÂU,99.99%,Ring,BTMC,1
1968,Nữ trang,41.70%,Jewelry,SJC,1
2161,Vàng trang sức 99,Unknown,jewelry,Phú Quý,0
2165,TRANG SỨC VÀNG RỒNG THĂNG LONG,99.99,jewelry,BTMC,0
2168,"Vàng nhẫn SJC 0.5 chỉ, 0.3 chỉ",99.99,ring,SJC,0
2173,"Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ",Unknown,gold_bar,SJC,0
2175,Phú quý 1 lượng 99.9,Unknown,other,Phú Quý,0
2176,Vàng phi SJC,999.0,other,Phú Quý,0
2183,- BÁN LẺ DOJI,Unknown,other,DOJI,0
2186,Nữ trang,68,jewelry,SJC,0
545,"Vàng nhẫn SJC 1 chỉ, 2 chỉ, 5 chỉ",99.99%,Ring,SJC,0
557,"Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ",99.99%,Bar Gold,SJC,0
850,"Vàng nhẫn SJC 1 chỉ, 2 chỉ, 5 chỉ",99.99%,Ring,SJC,1
856,Nữ trang,99.99%,Jewelry,SJC,1
859,Vàng trang sức 98,99.99%,Jewelry,PHÚ QUÝ,1
1067,"Vàng nhẫn SJC 1 chỉ, 2 chỉ, 5 chỉ",99.99%,Ring,SJC,1
1061,Vàng SJC 5 chỉ,99.99%,Bar Gold,SJC,1
1062,Nữ trang,61.00%,Jewelry,SJC,1
1070,QUÀ MỪNG BẢN VỊ VÀNG BẢO TÍN MINH CHÂU,99.99%,Bar Gold,BTMC,1
1076,Nhẫn tròn Phú Quý,99.99%,Ring,PHÚ QUÝ,1
1082,VÀNG MIẾNG VRTL BẢO TÍN MINH CHÂU,99.99%,Bar Gold,BTMC,1
1088,Nữ trang,41.70%,Jewelry,SJC,1
1283,"Vàng SJC 1L, 10L, 1KG",99.99%,Bar Gold,SJC,1
1285,QUÀ MỪNG BẢN VỊ VÀNG BẢO TÍN MINH CHÂU,99.99%,Bar Gold,BTMC,1
1290,TRANG SỨC VÀNG RỒNG THĂNG LONG 99.9,99.99%,Jewelry,BTMC,1
1293,Phú quý 1 lượng 99.9,99.99%,Bar Gold,PHÚ QUÝ,1
1294,Vàng phi SJC,99.99%,Bar Gold,PHÚ QUÝ,1
1299,VÀNG MIẾNG VRTL BẢO TÍN MINH CHÂU,99.99%,Bar Gold,BTMC,1
1305,Vàng trang sức 98,99.99%,Jewelry,PHÚ QUÝ,1
1307,Nữ trang,68.00%,Jewelry,SJC,1
1506,VÀNG MIẾNG SJC,99.99%,Bar Gold,BTMC,1
1510,"Vàng nhẫn SJC 1 chỉ, 2 chỉ, 5 chỉ",99.99%,Ring,SJC,1
1515,Vàng trang sức 999,99.99%,Jewelry,PHÚ QUÝ,1
1520,Nữ trang,99.99%,Jewelry,SJC,1
1529,Nữ trang,41.70%,Jewelry,SJC,1
1726,TRANG SỨC VÀNG RỒNG THĂNG LONG,99.99%,Jewelry,BTMC,1
1730,Vàng trang sức,99.99%,Jewelry,PHÚ QUÝ,1
1739,VÀNG MIẾNG VRTL BẢO TÍN MINH CHÂU,99.99%,Bar Gold,BTMC,1
1745,Thần tài Phú Quý,99.99%,Gift,PHÚ QUÝ,1
1943,TRANG SỨC VÀNG RỒNG THĂNG LONG,99.99%,Jewelry,BTMC,1
1949,Nữ trang,58.30%,Jewelry,SJC,1
1956,"Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ",99.99%,Bar Gold,SJC,1
1962,Vàng miếng SJC,99.99%,Bar Gold,PHÚ QUÝ,1
1969,Vàng phi SJC,99.99%,Bar Gold,PHÚ QUÝ,1
2162,Vàng SJC 5 chỉ,Unknown,gold_bar,SJC,0
2167,Nữ trang,58.3,jewelry,SJC,0
2169,TRANG SỨC VÀNG RỒNG THĂNG LONG 99.9,Unknown,jewelry,BTMC,0
2171,Nữ trang,61,jewelry,SJC,0
2174,Vàng trang sức 999,Unknown,jewelry,Phú Quý,0
2178,Thần tài Phú Quý,99.99,gift,Phú Quý,0
2181,Nữ trang,99.99,jewelry,SJC,0
2184,Vàng trang sức 98,Unknown,jewelry,Phú Quý,0
2188,Nữ trang,99,jewelry,SJC,0
542,VÀNG MIẾNG SJC,99.99%,Bar Gold,BTMC,0
547,Vàng trang sức 99,99.99%,Jewelry,PHÚ QUÝ,0
549,TRANG SỨC VÀNG RỒNG THĂNG LONG 99.9,99.99%,Jewelry,BTMC,0
554,Phú quý 1 lượng 99.9,99.99%,Bar Gold,PHÚ QUÝ,0
555,Vàng phi SJC,99.99%,Bar Gold,PHÚ QUÝ,0
561,Thần tài Phú Quý,99.99%,Gift,PHÚ QUÝ,0
563,NHẪN TRÒN TRƠN BẢO TÍN MINH CHÂU,99.99%,Ring,BTMC,0
569,Nữ trang,99.00%,Jewelry,SJC,0
761,"Vàng SJC 1L, 10L, 1KG",99.99%,Bar Gold,SJC,1
801,Vàng 610 (14.6K),61.00%,Bar Gold,PHÚ QUÝ,0
821,Vàng nữ trang 999,99.90%,Jewelry,BTMC,0
845,Nữ trang,58.30%,Jewelry,SJC,1
846,TRANG SỨC VÀNG RỒNG THĂNG LONG,99.99%,Jewelry,BTMC,1
851,QUÀ MỪNG BẢN VỊ VÀNG BẢO TÍN MINH CHÂU,99.99%,Bar Gold,BTMC,1
852,TRANG SỨC VÀNG RỒNG THĂNG LONG 99.9,99.99%,Jewelry,BTMC,1
858,"Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ",99.99%,Bar Gold,SJC,1
860,Vàng miếng SJC,99.99%,Bar Gold,PHÚ QUÝ,1
862,- BÁN LẺ DOJI,99.99%,Bar Gold,DOJI,1
868,Nữ trang,41.70%,Jewelry,SJC,1
1064,"Vàng SJC 1L, 10L, 1KG",99.99%,Bar Gold,SJC,1
1068,Vàng trang sức,99.99%,Jewelry,PHÚ QUÝ,1
1077,Phú quý 1 lượng 99.9,99.99%,Bar Gold,PHÚ QUÝ,1
1078,Vàng phi SJC,99.99%,Bar Gold,PHÚ QUÝ,1
1084,Nữ trang,99.99%,Jewelry,SJC,1
1089,Vàng phi SJC,99.99%,Bar Gold,PHÚ QUÝ,1
1282,Vàng SJC 5 chỉ,99.99%,Bar Gold,SJC,1
1291,Nữ trang,58.30%,Jewelry,SJC,1
1297,"Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ",99.99%,Bar Gold,SJC,1
1304,Nữ trang,99.99%,Jewelry,SJC,1
1308,Nữ trang,41.70%,Jewelry,SJC,1
1501,Nữ trang,61.00%,Jewelry,SJC,1
1507,TRANG SỨC VÀNG RỒNG THĂNG LONG 99.9,99.99%,Jewelry,BTMC,1
1518,Nhẫn tròn Phú Quý,99.99%,Ring,PHÚ QUÝ,1
1525,NHẪN TRÒN TRƠN BẢO TÍN MINH CHÂU,99.99%,Ring,BTMC,1
1527,Vàng phi SJC,99.99%,Bar Gold,PHÚ QUÝ,1
1721,"Vàng nhẫn SJC 1 chỉ, 2 chỉ, 5 chỉ",99.99%,Ring,SJC,1
1725,VÀNG MIẾNG SJC,99.99%,Bar Gold,BTMC,1
1731,"Vàng nhẫn SJC 0.5 chỉ, 0.3 chỉ",99.99%,Ring,SJC,1
1733,Nhẫn tròn Phú Quý,99.99%,Ring,PHÚ QUÝ,1
1741,Nữ trang,75.00%,Jewelry,SJC,1
1742,Vàng trang sức 98,99.99%,Jewelry,PHÚ QUÝ,1
1746,Nữ trang,99.00%,Jewelry,SJC,1
