ID,TYPE_NAME,PURITY,CATEGORY,BRAND
543,Vàng trang sức,99.99%,Jewelry,Phú Quý
548,Nữ trang,58.30%,Jewelry,SJC
558,Vàng miếng SJC,99.99%,Gold Bar,Phú Quý
559,Vàng trang sức 999,99.99%,Jewelry,Phú Quý
568,Nữ trang,41.70%,Jewelry,SJC
781,PNJ,99.99%,Jewelry,SJC
782,SJC,99.99%,Gold Bar,BTMC
783,Nhẫn Trơn PNJ 999.9,99.99%,Ring,SJC
784,Vàng Kim Bảo 999.9,99.99%,Gold Bar,BTMC
785,Vàng Phúc Lộc Tài 999.9,99.99%,Gold Bar,Phú Quý
786,Vàng nữ trang 999.9,99.99%,Jewelry,SJC
787,Vàng nữ trang 99,99.00%,Jewelry,SJC
788,Vàng 916 (22K),91.60%,Gold Bar,Phú Quý
789,Vàng 750 (18K),75.00%,Gold Bar,DOJI
790,Vàng 680 (16.3K),68.00%,Gold Bar,DOJI
791,Vàng 650 (15.6K),65.00%,Gold Bar,DOJI
792,Vàng 585 (14K),58.30%,Gold Bar,BTMC
793,Vàng 416 (10K),41.66%,Gold Bar,BTMC
794,Vàng 375 (9K),37.50%,Gold Bar,BTMC
795,Vàng 333 (8K),33.30%,Gold Bar,BTMC
843,VÀNG MIẾNG SJC,99.99%,Gold Bar,BTMC
847,Vàng trang sức 99,99.99%,Jewelry,Phú Quý
855,Vàng trang sức 999,99.99%,Jewelry,Phú Quý
863,Phú quý 1 lượng 99.9,99.99%,Gold Bar,Phú Quý
864,Vàng phi SJC,99.99%,Gold Bar,Phú Quý
869,Vàng phi SJC,99.99%,Gold Bar,Phú Quý
1063,TRANG SỨC VÀNG RỒNG THĂNG LONG,99.99,jewelry,BTMC
1071,"Vàng nhẫn SJC 0.5 chỉ, 0.3 chỉ",99.99,ring,SJC
1073,"Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ",Unknown,Gold Bar,SJC
1075,Thần tài Phú Quý,99.99,gift,Phú Quý
1081,- BÁN LẺ DOJI,Unknown,other,DOJI
1086,Nữ trang,99,jewelry,SJC
541,QUÀ MỪNG BẢN VỊ VÀNG BẢO TÍN MINH CHÂU,99.99%,Gold Bar,BTMC
546,TRANG SỨC VÀNG RỒNG THĂNG LONG,99.99%,Jewelry,BTMC
552,"Vàng SJC 1L, 10L, 1KG",99.99%,Gold Bar,SJC
553,Nữ trang,75.00%,Jewelry,SJC
560,VÀNG MIẾNG VRTL BẢO TÍN MINH CHÂU,99.99%,Gold Bar,BTMC
565,Vàng trang sức 98,99.99%,Jewelry,Phú Quý
566,Nữ trang,68.00%,Jewelry,SJC
844,Nữ trang,61.00%,Jewelry,SJC
841,"Vàng SJC 1L, 10L, 1KG",99.99%,Gold Bar,SJC
849,Vàng trang sức,99.99%,Jewelry,Phú Quý
853,Nhẫn tròn Phú Quý,99.99%,Ring,Phú Quý
857,Thần tài Phú Quý,99.99%,Gift,Phú Quý
861,NHẪN TRÒN TRƠN BẢO TÍN MINH CHÂU,99.99%,Ring,BTMC
866,Nữ trang,99.00%,Jewelry,SJC
1066,Nữ trang,58.3,jewelry,SJC
1072,TRANG SỨC VÀNG RỒNG THĂNG LONG 99.9,Unknown,jewelry,BTMC
1074,Nữ trang,75,jewelry,SJC
1079,Vàng miếng SJC,Unknown,Gold Bar,Phú Quý
